restaurant,dish_name,description,price
Sizzling Tandoor (Johnson),Kachumber Salad,No description,$12.00
Casa Filipino Cuisine,Beef Stew w/ Rice,No description,$19.99
Casa Filipino Cuisine,Spring Rolls,No description,$15.99
Casa Filipino Cuisine,Pancit,No description,$17.99
Casa Filipino Cuisine,Bopis w/ Rice,No description,$18.99
Casa Filipino Cuisine,Pork Adobo w/ Rice,No description,$19.99
Casa Filipino Cuisine,Kare Kare w/ Rice,No description,$21.99
Casa Filipino Cuisine,Dinuguan w/ Rice,No description,$19.99
Casa Filipino Cuisine,Beef Bulalo w/ Rice,No description,$22.99
Casa Filipino Cuisine,Halo Halo,No description,$12.99
Casa Filipino Cuisine,Tapsilog,No description,$16.99
Casa Filipino Cuisine,PINAPAITAN Beef Heart Soup w/ Rice,No description,$19.99
Casa Filipino Cuisine,Pansit Palabok,No description,$17.99
Casa Filipino Cuisine,Pork Sisig w/ Rice,No description,$19.50
Casa Filipino Cuisine,PLAIN RICE,No description,$3.00
Casa Filipino Cuisine,Crispy Pata w/ Rice,No description,$23.99
Casa Filipino Cuisine,Bicol Express w/ Rice,No description,$18.99
Casa Filipino Cuisine,TOSILOG,No description,$16.99
Casa Filipino Cuisine,Chicken Skin Crispy (Chicharon},No description,$11.99
Casa Filipino Cuisine,Longsilog,No description,$15.99
Casa Filipino Cuisine,Bangsilog,No description,$16.99
Varsha Indian Kitchen,Ras Malai,No description,$5.77
Varsha Indian Kitchen,Number of Plastic Cutlery,No description,$0.27
Varsha Indian Kitchen,Chef's Choice Platter,No description,$59.40
Varsha Indian Kitchen,Vegetarian Platter,No description,$64.90
Varsha Indian Kitchen,Mom's Platter,No description,$59.40
Varsha Indian Kitchen,Mom's Samosas,No description,$9.62
Varsha Indian Kitchen,Vegetarian Pakora,No description,$8.74
Varsha Indian Kitchen,Chilli Chicken,No description,$18.64
Varsha Indian Kitchen,Varsha's Butter Chicken Poutine,No description,$17.54
Varsha Indian Kitchen,Cauliflower 250,No description,$15.40
Varsha Indian Kitchen,Varsha's Naan Bread,No description,$9.07
Varsha Indian Kitchen,Masala Fries,No description,$8.74
Varsha Indian Kitchen,Varsha's Wings,No description,$16.44
Varsha Indian Kitchen,Chicken Pakora,No description,$12.65
Varsha Indian Kitchen,Fish Pakora,No description,$12.65
Varsha Indian Kitchen,Masala Fish and Chips,No description,$17.87
Varsha Indian Kitchen,Butter Chicken Samosa,No description,$8.80
Varsha Indian Kitchen,Paneer Pakora,No description,$12.10
Varsha Indian Kitchen,Yam Fries,No description,$9.07
Varsha Indian Kitchen,Shrimp Pakora,No description,$13.14
Dumpling Drop,Pork Belly Dumplings,No description,$8.75
Dumpling Drop,Homemade Peanut Sauce and Rice,No description,$5.75
Dumpling Drop,Rice & Chili Oil,No description,$4.00
Dumpling Drop,Classic Vegan Dumplings,No description,$8.75
Dumpling Drop,Mango & Sticky Rice,No description,$6.75
Dumpling Drop,Yuzu Brussels Sprouts,No description,$8.75
Dumpling Drop,Khao Soi ( Chicken),No description,$20.00
Dumpling Drop,Crispy Chicken Baos,No description,$8.75
Dumpling Drop,Khao Soi ( Beef),No description,$20.00
Dumpling Drop,Special Dumplings (Spicy Ginger Beef),No description,$8.50
Dumpling Drop,Aloe Vera Drink,No description,$3.00
Dumpling Drop,Vita Lemon Tea Drink,No description,$2.75
Dumpling Drop,Phillippine Brand Mango Juice Nectar,No description,$2.75
Dumpling Drop,Philippine Brand Guava Juice Nectar,No description,$2.75
Dumpling Drop,Coconut Water,No description,$2.50
Dumpling Drop,Philippine Brand Guava Juice Nectar,No description,$2.50
Dumpling Drop,Sanpellegrino Limonata,No description,$2.50
Dumpling Drop,Bubly Water - Cherry,No description,$2.75
Dumpling Drop,Coca-Cola,No description,$2.75
Dumpling Drop,Sanpellegrino Aranciata Rossa,No description,$3.25
Burger King (1328 Douglas Street),NEW! Mushroom & Swiss Whopper Melt Meal,No description,$17.14
Burger King (1328 Douglas Street),NEW! Bacon Whopper Melt Meal,No description,$18.18
Burger King (1328 Douglas Street),NEW! Classic Whopper Melt Meal,No description,$16.88
Burger King (1328 Douglas Street),NEW! Double Classic Whopper Melt Meal,No description,$18.18
Burger King (1328 Douglas Street),NEW! Cotton Candy Shake,No description,$6.89
Burger King (1328 Douglas Street),NEW! Cotton Candy BK Blast,No description,$4.59
Burger King (1328 Douglas Street),Family Bundle For 3 with King Jr. Meal,No description,$24.99
Burger King (1328 Douglas Street),Value Bundle For 4,No description,$29.99
Burger King (1328 Douglas Street),Bacon Cheeseburger,No description,$4.14
Burger King (1328 Douglas Street),WHOPPER with Cheese Meal,No description,$17.14
Burger King (1328 Douglas Street),WHOPPER,No description,$10.38
Burger King (1328 Douglas Street),Bacon King Meal,No description,$21.04
Burger King (1328 Douglas Street),WHOPPER Meal,No description,$15.84
Burger King (1328 Douglas Street),WHOPPER with Cheese,No description,$11.68
Burger King (1328 Douglas Street),Bacon King,No description,$15.58
Burger King (1328 Douglas Street),Roadhouse King Meal,No description,$21.04
Burger King (1328 Douglas Street),Double WHOPPER with Cheese Meal,No description,$19.74
Burger King (1328 Douglas Street),Impossible Whopper,No description,$10.38
Burger King (1328 Douglas Street),Impossible Whopper Meal,No description,$15.84
Burger King (1328 Douglas Street),WHOPPER JR.,No description,$6.48
Chic-K-Flare (Victoria),Drumsticks (3 pcs),No description,$13.99
Chic-K-Flare (Victoria),2 Pc Chicken,No description,$10.49
Chic-K-Flare (Victoria),3 Pc Chicken,No description,$14.79
