dish_id,name,description,price,restaurant_id
7,BRAISED BEEF + VEGGIE HOT BOWL,No description,$19.00,15
8,AVOCADO & CHICKEN BAGUETTE,No description,$16.85,15
9,ROAST CHICKEN SANDWICH (NF),No description,$16.85,15
10,CLASSIC MEATBALL BAGUETTE,No description,$16.85,15
11,HALF ROAST CHICKEN SANDWICH (NF),No description,$8.90,15
12,TOFU QUINOA WRAP (V),No description,$14.70,15
13,HALF AVO CHICKEN BAGUETTE,No description,$8.90,15
14,HALF MEATBALL BAGUETTE,No description,$8.90,15
15,FULL SANDWICH OR WRAP & CUP OF SOUP,No description,$20.85,15
16,HALF SANDWICH & BOWL OF SOUP,No description,$16.85,15
17,HALF SANDWICH & CUP OF SOUP,No description,$14.10,15
18,MUSHROOM DITALINI (NF),No description,$6.15,15
19,CLASSIC KALE CAESAR,No description,$6.15,15
0,Croissant-Ham & Cheese,No description,$5.00,16
1,Cinnamon Bun-Mini (6 pk),No description,$9.50,16
2,Croissant-Chocolate,No description,$5.00,16
3,Danish-Raspberry & Custard,No description,$4.25,16
4,Danish-Wild Blueberry Custard,No description,$4.25,16
5,Tart-Butter,No description,$2.75,16
6,White Dinner Roll,No description,$0.75,16
7,Gourmet Hamburger Bun,No description,$1.25,16
8,Gourmet Hot Dog Bun,No description,$1.25,16
9,Whole Wheat Bun,No description,$1.00,16
10,White Loaf,No description,$5.25,16
11,Whole Wheat Loaf,No description,$5.25,16
12,Sour Dough-Sunflower Flax Loaf,No description,$7.50,16
13,Pullapart-Cheese,No description,$10.00,16
14,Turkish Bread-Italian Herb,No description,$6.50,16
0,ADD CUTLERY,No description,Priced by add-ons,17
1,SWEET & SMOKY BLT & E,No description,$21.59,17
2,6 PANCAKE PUPPIES,No description,$5.99,17
3,BACON OBSESSION BURGER,No description,$23.39,17
4,10 PANCAKE PUPPIES,No description,$7.79,17
5,SWEET CREAM COLD BREW,No description,$5.27,17
6,STRAWBERRY LEMONADE,No description,$5.87,17
7,LUMBERJACK COMBO FOR ONE,No description,$25.59,17
8,BYO BREAKFAST FOR TWO,No description,$40.99,17
9,"BURGER, SHAKE AND LAVA COOKIE SKILLET FOR ONE",No description,$29.99,17
10,"BURGER, SHAKE AND LAVA COOKIE SKILLET FOR TWO",No description,$55.99,17
11,MILK SHAKES,No description,$8.75,17
12,COFFEE,No description,$4.55,17
13,SOFT DRINK,No description,$4.91,17
14,HOT CHOCOLATE,No description,$5.39,17
15,SMOOTHIES,No description,$7.79,17
16,JUICE,No description,$5.75,17
17,LEMONADE,No description,$4.91,17
18,MILK,No description,$5.75,17
19,ICED TEA,No description,$4.91,17
0,Daily Hot Sando,No description,$26.00,18
1,Today's Fresh Salad,No description,$26.00,18
2,Daily Quiche,No description,$14.00,18
3,Aussie Style Pie,No description,$15.00,18
4,Fries,No description,$13.50,18
5,White Sourdough Boule (sliced or unsliced),No description,$9.35,18
6,Four Grain Sourdough Boule (sliced or unsliced),No description,$9.35,18
7,Phillips Sodas,No description,$4.70,18
8,2 x Salted Chocolate Chunk Cookies,No description,$8.70,18
9,Berry Muffin,No description,$5.70,18
10,2 x Chocolate Peanut `Brownies,No description,$12.00,18
11,2 x Cosmo Cookies,No description,$8.70,18
12,2 x Oatmeal Tornado Cookies,No description,$8.70,18
13,Tombo Slice,No description,$6.65,18
14,Passion Fruit Yuzu Brulee,No description,$6.65,18
0,Big Bad Breakfast Sandwich *updated*,No description,$12.75,20
1,"""The Western"" Scrambler",No description,$16.25,20
2,Buttermilk Pancakes,No description,$13.25,20
3,Pancakes N’ Fried ChickUN,No description,$17.25,20
4,Jackfruit Scrambler,No description,$16.25,20
5,Fire Burger,No description,$17.25,20
6,Buffalo ChickUN Burger,No description,$18.00,20
7,Big Mac-Daddy Burger,No description,$18.25,20
8,Cheese Burger,No description,$16.75,20
9,“Honey” Mustard Chickun Burger,No description,$18.00,20
10,BBQ Plant Burger,No description,$15.25,20
11,Bacun Crafty Mac,No description,$13.25,20
12,Big Mac a Crafty Mac,No description,$15.50,20
13,GLUTEN FREE Bacun Crafty Mac,No description,$13.75,20
14,(SIDE) Vegan Fried ChickUn,No description,$6.75,20
15,(SIDE) Garlic Aioli,No description,$1.25,20
16,LARGE Caesar Salad,No description,$13.00,20
17,Fried Chickun Caesar Salad,No description,$18.25,20
18,Classic Poutine,No description,$14.75,20
19,Side Poutine,No description,$7.75,20
0,Coconut Water (310 mL),No description,$3.00,21
1,Sparkmouth Soda Water,No description,$3.00,21
2,Phillips Cane Sugar Sodas,No description,$3.50,21
3,Decaf 12oz Bag,No description,$22.00,21
4,Hudson 12oz bag,No description,$20.00,21
